Watched How to deactivate your Facebook and Messenger accounts | deactivate messenger |  Updated 2022,https://www.youtube.com/watch?v=os3P0wfUhMU,Sudda,https://www.youtube.com/channel/UCCHf05E_tKeSO3prWQLnvPw,2023-01-01T11:51:46.577Z,,
Watched Galaxy Tab S8 How to Call and Text From Samsung Galaxy Phone,https://www.youtube.com/watch?v=beEaTmnK46c,GregglesTV,https://www.youtube.com/channel/UCdV8E_Ca22hjQh1-REttX2A,2023-01-01T07:44:34.277Z,,
Watched Biggest trick on Mi Band 7: Game on it?!,https://www.youtube.com/watch?v=pN41zAmmuj0,Sami Luo Tech,https://www.youtube.com/channel/UCgJCa5JyZUFkw2evyuvLbJA,2023-01-01T07:43:44.967Z,,
Watched Xiaomi Smart Band 7 Pro vs Xiaomi Smart Band 7: Which is the BEST for YOU?,https://www.youtube.com/watch?v=cLAi7DV8dsg,Tech4All,https://www.youtube.com/channel/UCZDeyDl9zh65Zm5Tp7df0eQ,2023-01-01T07:42:45.945Z,,
"Watched How to set up esim in samsung galaxy watch Active 2, Watch 4, Watch 5",https://www.youtube.com/watch?v=qU075TO0JwE,MAB Arena,https://www.youtube.com/channel/UCGRVfo9e9FeNwVwEEKbyzRw,2023-01-01T07:40:26.617Z,,
Watched Galaxy Watch 4 LTE Review- The TRUTH About LTE vs Bluetooth!,https://www.youtube.com/watch?v=u1U21YeLHb8,ALLSTARSPACE,https://www.youtube.com/channel/UCXpJGo5u2rQEVTb-mioq4Pg,2023-01-01T07:38:53.608Z,,
Watched Galaxy Watch 5 WiFi Version vs Galaxy Watch 5 LTE Version Which Should You Buy,https://www.youtube.com/watch?v=4b12nC5gnRU,GregglesTV,https://www.youtube.com/channel/UCdV8E_Ca22hjQh1-REttX2A,2023-01-01T07:36:45.513Z,,
Watched Mi Band 7 Pro Review: The BEST Smartband!,https://www.youtube.com/watch?v=qAazEN4Ol78,Michael Elsegood,https://www.youtube.com/channel/UCHXDCsAarLqG7oeVThC03CA,2023-01-01T07:30:37.235Z,,
Watched Amazfit GTR2 || ريفيو مفصل لأشيك ساعه ذكيه جربتها 👌,https://www.youtube.com/watch?v=zI0YozXFF_8,Mohamed Elkhayat محمد الخياط,https://www.youtube.com/channel/UCWlFFEohJoxCRJGDf4ehJIg,2023-01-01T07:20:14.350Z,,
Watched Amazfit GTR 4 Smart Watch Review: The BEST in its Class?,https://www.youtube.com/watch?v=x2QO9YyYjWk,Tech4All,https://www.youtube.com/channel/UCZDeyDl9zh65Zm5Tp7df0eQ,2023-01-01T07:18:24.038Z,,
Watched Meet the New Amazfit GTR 2 LTE,https://www.youtube.com/watch?v=9ET4m2pU1UQ,Amazfit Global,https://www.youtube.com/channel/UCSfJ2AbELVLhBcyMx3A9pHw,2023-01-01T07:18:14.697Z,,
Watched Top 5 Best LTE Smartwatch In 2023,https://www.youtube.com/watch?v=EdFkzyz4wHw,Techsquare,https://www.youtube.com/channel/UCCzfr37ENZsBda_WTSeAv-g,2023-01-01T07:10:22.187Z,,
